     84/99     8.47G    0.0231  0.008674  0.003522    0.0353        52       800    0.6538    0.8006    0.7896    0.4817    0.0282  0.008672   0.01497
     85/99     8.47G   0.02292  0.008408  0.003213   0.03454        67       800    0.6747    0.8303    0.8023    0.4879   0.02812  0.008609    0.0145
     86/99     8.47G   0.02288   0.00864  0.003178   0.03469        56       800    0.7004    0.7966    0.7969    0.4875   0.02776  0.008635   0.01526
     87/99     8.47G   0.02323  0.008544  0.003139   0.03491        54       800    0.7301    0.8001    0.8037    0.4944   0.02787  0.008635   0.01464
     88/99     8.47G     0.023   0.00836  0.003069   0.03443        51       800    0.7374    0.8005    0.8053    0.4912   0.02762  0.008567    0.0146
     89/99     8.47G   0.02287  0.008376   0.00292   0.03416        87       800    0.7451    0.7989    0.8003    0.4979   0.02708  0.008633   0.01498
     90/99     8.47G   0.02289  0.008435  0.002969    0.0343        52       800    0.7712    0.7926    0.8091    0.5066   0.02709  0.008647   0.01466
     91/99     8.47G   0.02198  0.008243  0.002939   0.03317        56       800    0.7611    0.8198    0.8135    0.5093   0.02706  0.008514   0.01481
     92/99     8.47G   0.02206  0.008379  0.002869   0.03331        62       800    0.7744    0.8103    0.8064    0.4985   0.02694  0.008529   0.01482
     93/99     8.47G   0.02313  0.008495  0.003964   0.03559        40       800    0.7967    0.8009    0.8084    0.4966   0.02717  0.008631   0.01518
     94/99     8.47G   0.02227  0.008175  0.002825   0.03327        64       800    0.8395    0.7698    0.8027    0.4888   0.02749  0.008681   0.01537
     95/99     8.47G   0.02246  0.008374  0.003343   0.03418        51       800    0.7787    0.7905    0.8011    0.4984   0.02693  0.008603   0.01546
     96/99     8.47G   0.02216  0.008467  0.002576    0.0332        50       800    0.8145    0.7935    0.8131    0.5001   0.02752  0.008584   0.01492
     97/99     8.47G   0.02197  0.008299  0.002346   0.03261        82       800    0.8197    0.7755    0.8013    0.4951   0.02718  0.008708   0.01511
     98/99     8.47G   0.02236  0.008402  0.002815   0.03357        54       800    0.8475    0.7644    0.8065    0.5008   0.02724  0.008609   0.01578
     99/99     8.47G   0.02185  0.008158  0.002657   0.03266        55       800    0.8432    0.7582    0.8058    0.4993   0.02732  0.008596   0.01521
